Title,Bank Name,Banking,Technology,Finance,Marketing,Analytics,Management,Cyber Security,Data Science,Assigned Cluster,Assigned Category
Advanced Life Sales Executive ,Huntington Bancshares,14,4,17,17,0,5,1,6,finance,Finance
Data Architect ,Huntington Bancshares,9,20,9,7,11,3,3,20,technology,FinTech
Insurance Account Relationship Representative ,Huntington Bancshares,3,7,3,6,1,3,2,4,technology,FinTech
Modeling Analyst ,Huntington Bancshares,9,20,6,7,24,3,0,33,data science,FinTech
Retail Relationship Manager ,Huntington Bancshares,4,7,8,7,0,1,0,7,finance,Finance
Data Technology Director ,Huntington Bancshares,27,45,23,17,54,5,4,67,data science,FinTech
Computer Forensic Analyst ,Huntington Bancshares,6,3,3,4,2,3,1,3,banking,Finance
Senior Project Manager ,Huntington Bancshares,8,13,7,28,1,7,2,3,marketing,Finance
Regional Credit Admin Manager ,Huntington Bancshares,12,2,12,7,0,0,1,2,banking,Finance
Consumer Loan Originator ,Huntington Bancshares,16,11,15,24,2,10,4,9,marketing,Finance
Sourcing Analyst ,Huntington Bancshares,8,3,6,10,1,6,0,3,marketing,Finance
Operations Customer Service Specialist II ,Huntington Bancshares,10,5,4,3,3,3,3,5,banking,Finance
Omni - Senior Product Execution Manager ,Huntington Bancshares,15,21,16,25,5,11,4,11,marketing,Finance
Collateral Analyst-Asset Based Lending ,Huntington Bancshares,4,3,2,1,2,1,0,3,banking,Finance
Customer Service Associate - Customer Solution Center ,Huntington Bancshares,13,12,12,11,4,11,5,10,banking,Finance
Associate Director-Public Finance ,Huntington Bancshares,7,7,5,3,3,0,1,7,banking,Finance
CRE Relationship Manager ,Huntington Bancshares,12,11,12,16,1,5,2,7,marketing,Finance
Private Bank Relationship Mgr-Senior ,Huntington Bancshares,9,3,9,11,0,5,0,3,marketing,Finance
Digital Product Manager ,Huntington Bancshares,20,32,22,30,6,11,12,26,technology,FinTech
Asset Liability Management Analyst ,Huntington Bancshares,14,10,12,11,11,5,2,16,data science,FinTech
Commercial Portfolio Manager ,Huntington Bancshares,7,10,7,11,3,5,0,9,marketing,Finance
Recovery Collector ,Huntington Bancshares,11,3,9,6,5,6,1,6,banking,Finance
IT Internal Auditor: Information Security ,Huntington Bancshares,20,18,18,17,4,2,2,18,banking,Finance
Lockbox Processor ,Huntington Bancshares,11,12,6,9,4,7,1,14,data science,FinTech
National Account Sales Representative - Leasing ,Huntington Bancshares,19,17,21,21,3,9,1,14,finance,Finance
Branch Relationship Banker IV ,Huntington Bancshares,40,21,39,21,0,11,0,11,banking,Finance
Construction Projects Manager ,Huntington Bancshares,6,6,5,19,0,3,0,4,marketing,Finance
Business Banking Relationship Manager I ,Huntington Bancshares,19,6,18,16,3,6,0,8,banking,Finance
Treasury Management Training Support Associate ,Huntington Bancshares,25,31,24,29,4,14,4,18,technology,FinTech
SBA Business Loan Closing Coordinator ,Huntington Bancshares,10,6,10,6,0,1,0,5,banking,Finance
Business Banking Underwriter II ,Huntington Bancshares,17,4,14,11,0,1,0,4,banking,Finance
Private Banker ,Huntington Bancshares,11,3,11,13,0,6,0,3,marketing,Finance
Facilities Manager II ,Huntington Bancshares,7,8,7,11,0,3,0,4,marketing,Finance
Business Banking Relationship Manager 1 ,Huntington Bancshares,19,6,18,16,3,6,0,8,banking,Finance
Treasury Management Svcs Specialist 1.4951 ,Huntington Bancshares,11,12,6,9,4,7,1,14,data science,FinTech
Segment Risk Specialist ,Huntington Bancshares,9,11,6,5,5,1,2,8,technology,FinTech
Trust Operations Section Manager 2 ,Huntington Bancshares,12,5,9,9,0,2,0,4,banking,Finance
InfoSec Identity and Access Manager (IAM) ,Huntington Bancshares,6,14,6,7,0,2,2,7,technology,FinTech
Business Banking Branch Loan Renewal Specialist ,Huntington Bancshares,11,3,10,9,1,4,2,3,banking,Finance
Relationship Service Specialist ,Huntington Bancshares,19,5,17,14,4,5,0,4,banking,Finance
CRE Client Service Specialist Sr. ,Huntington Bancshares,11,4,5,7,4,3,1,4,banking,Finance
Senior Java Developer ,Huntington Bancshares,1,8,1,1,1,0,1,4,technology,FinTech
Senior Insights Analyst ,Huntington Bancshares,9,16,7,8,12,2,4,18,data science,FinTech
Treasury Management Services Specialist 1 ,Huntington Bancshares,9,5,6,5,1,1,0,4,banking,Finance
Wealth Loan Officer - Bloomfield Hills| MI ,Huntington Bancshares,11,7,11,9,1,4,4,5,banking,Finance
Cyber Security Firewall Manager ,Huntington Bancshares,7,33,6,8,14,3,3,25,technology,FinTech
Program Manager ,Huntington Bancshares,10,43,10,49,4,9,1,14,marketing,Finance
Credit Analyst Senior ,Huntington Bancshares,19,6,17,14,3,8,0,6,banking,Finance
Client Advisor Sr ,Huntington Bancshares,6,4,6,5,0,2,0,5,banking,Finance
Business Segment CIO ,Huntington Bancshares,5,8,5,6,0,4,0,2,technology,FinTech
Capital Markets Analytics Specialist Senior ,Huntington Bancshares,5,13,10,9,10,1,1,14,data science,FinTech
Commercial Portfolio Manager Senior ,Huntington Bancshares,18,4,18,16,1,5,0,3,banking,Finance
Enterprise Fraud Specialist I ,Huntington Bancshares,4,2,3,3,3,3,3,6,data science,FinTech
EUC OS Platform Engineer II ,Huntington Bancshares,12,35,10,10,11,5,6,21,technology,FinTech
Broker Dealer Compliance - Customer Complaints and Regulatory Response Specialist Senior ,Huntington Bancshares,11,11,11,12,1,6,1,12,marketing,Finance
Collateral Analyst ,Huntington Bancshares,4,3,2,1,2,1,0,3,banking,Finance
Insurance Sales Executive ,Huntington Bancshares,14,5,17,17,0,5,1,7,finance,Finance
Mass Affluent Sales Leader ,Huntington Bancshares,16,24,15,11,1,6,3,11,technology,FinTech
Executive Administrative Assistant ,Huntington Bancshares,4,5,3,8,0,6,0,5,marketing,Finance
Senior Digital Analyst ,Huntington Bancshares,14,14,13,11,14,7,2,19,data science,FinTech
Private Bank Regional Director 2 ,Huntington Bancshares,8,3,9,4,1,1,1,2,finance,Finance
Private Banking Service Specialist| Senior ,Huntington Bancshares,33,13,24,21,7,4,1,18,banking,Finance
AML Investigator ,Huntington Bancshares,11,10,9,8,5,4,4,11,banking,Finance
Client Advisor ,Huntington Bancshares,6,4,6,5,0,2,0,5,banking,Finance
Automation Developer Analyst Sr ,Huntington Bancshares,7,23,6,6,9,1,4,21,technology,FinTech
Business Banking Relationship Manager ,Huntington Bancshares,19,6,18,16,3,6,0,8,banking,Finance
Omnichannel (Omni) Data Analyst ,Huntington Bancshares,11,7,10,12,6,7,2,9,marketing,Finance
Database Engineer III (MS SQL Server - Operations) ,Huntington Bancshares,4,30,3,5,9,5,1,16,technology,FinTech
Principal Architect ,Huntington Bancshares,11,28,8,8,8,1,4,13,technology,FinTech
Home Lending Quantitative Analyst Sr ,Huntington Bancshares,8,10,7,5,7,0,1,14,data science,FinTech
Mortgage Loan Originator - Marysville| OH ,Huntington Bancshares,11,7,11,9,1,4,4,5,banking,Finance
Business Analyst Senior ,Huntington Bancshares,19,15,14,5,0,1,0,5,banking,Finance
Virtualization Engineer III ,Huntington Bancshares,7,16,3,3,8,0,2,20,data science,FinTech
Segment Learning Consultant Sr. ,Huntington Bancshares,13,10,12,6,1,4,2,3,banking,Finance
Senior Product Execution Manager ,Huntington Bancshares,16,33,20,34,6,13,11,21,marketing,Finance
Managing Director Healthcare Public Finance ,Huntington Bancshares,9,6,9,4,1,1,2,6,banking,Finance
Business Continuity Specialist Sr. ,Huntington Bancshares,19,11,18,5,2,1,3,7,banking,Finance
Business Banking Underwriter IV ,Huntington Bancshares,19,4,19,18,0,5,0,4,banking,Finance
Network Engineer 2 (Voice Engineer) ,Huntington Bancshares,7,15,3,1,4,0,1,11,technology,FinTech
Segment Risk Manager Data Analytics ,Huntington Bancshares,12,12,12,3,3,1,0,8,banking,Finance
Capital Plan Regulatory Reporting Senior ,Huntington Bancshares,9,3,6,6,4,1,0,5,banking,Finance
Business Analyst Senior - LIBOR Transition Program ,Huntington Bancshares,33,25,22,24,10,9,5,22,banking,Finance
Credit Review Officer - Commercial / Energy Lending ,Huntington Bancshares,24,7,23,20,5,0,0,9,banking,Finance
AML Investigator 1 ,Huntington Bancshares,11,10,9,8,5,4,4,11,banking,Finance
Omni - UX Manager - Interaction Design Team ,Huntington Bancshares,18,16,16,26,2,18,3,7,marketing,Finance
HFA Operational Support Specialist ,Huntington Bancshares,7,5,1,3,3,2,0,5,banking,Finance
Associate Institutional Sales Rep-Capital Markets ,Huntington Bancshares,3,5,3,3,1,1,0,4,technology,FinTech
Business Banking Client Specialist - Practice Finance ,Huntington Bancshares,18,5,17,11,0,5,0,4,banking,Finance
Home Lending Program Manager ,Huntington Bancshares,11,13,8,8,4,1,1,11,technology,FinTech
AML Manager - Customer Identification Program ,Huntington Bancshares,24,16,17,19,5,9,2,8,banking,Finance
Data Scientist - Text Analytics ,Huntington Bancshares,10,25,11,14,19,6,3,25,technology,FinTech
Card Business Process Monitoring Manager ,Huntington Bancshares,18,7,10,9,5,1,1,7,banking,Finance
Security Analyst ,Huntington Bancshares,8,6,4,1,3,0,2,8,banking,Finance
Executive Protection Specialist ,Huntington Bancshares,1,6,0,1,0,1,1,6,technology,FinTech
Credit Card Risk Strategy - Senior Analyst ,Huntington Bancshares,11,7,10,11,4,3,1,7,banking,Finance
Corporate Tax Associate ,Huntington Bancshares,6,2,4,4,2,0,0,2,banking,Finance
Project Manager Senior - LIBOR Transition Program ,Huntington Bancshares,22,12,18,24,3,7,2,5,marketing,Finance
Model Management and Optimization Business Analyst 3 ,Huntington Bancshares,27,24,19,11,17,6,2,24,banking,Finance
Quality Control Specialist ,Huntington Bancshares,4,2,1,1,3,0,0,2,banking,Finance
Senior Developer - IBM P8 Case Manager ,Huntington Bancshares,7,18,5,9,3,4,3,7,technology,FinTech
Financial Analyst Senior - Commercial Banking ,Huntington Bancshares,11,11,10,11,5,3,1,10,banking,Finance
SBA Client Specialist Section Manager ,Huntington Bancshares,25,4,22,21,0,10,0,4,banking,Finance
Developer - IBM P8 Case Manager ,Huntington Bancshares,7,18,5,9,3,4,3,7,technology,FinTech
Insurance Account Executive I ,Huntington Bancshares,23,24,18,23,10,5,5,22,technology,FinTech
Commercial Loan Services Specialist 2 ,Huntington Bancshares,7,6,6,4,1,1,0,6,banking,Finance
Foreign Exchange Specialist ,Huntington Bancshares,11,10,6,6,0,1,0,6,banking,Finance
RPS Service Specialist II ,Huntington Bancshares,19,12,10,9,6,4,1,10,banking,Finance
Treasury Management Area Sales Manager ,Huntington Bancshares,6,6,6,10,1,5,0,5,marketing,Finance
National Account Manager ,Huntington Bancshares,22,17,24,22,3,9,1,14,finance,Finance
Relocation Account Executive ,Huntington Bancshares,17,8,14,17,3,5,0,13,banking,Finance
Senior IBM MDM ETL Developer ,Huntington Bancshares,1,11,1,7,1,0,0,4,technology,FinTech
Central Sales Support Specialist II ,Huntington Bancshares,10,7,3,5,5,2,1,5,banking,Finance
Senior Internal Auditor ,Huntington Bancshares,13,3,11,7,1,2,0,7,banking,Finance
Treasury Management Technical Training Associate ,Huntington Bancshares,25,31,24,29,4,14,4,18,technology,FinTech
Information Security- Data Protection: Data In Transit Security Manager ,Huntington Bancshares,4,11,4,7,0,2,1,7,technology,FinTech
Automation Developer Analyst Lead ,Huntington Bancshares,9,33,8,6,5,0,3,22,technology,FinTech
Sr. Data Warehouse Developer ,Huntington Bancshares,14,26,11,7,37,4,3,41,data science,FinTech
Master Data Application Architect ,Huntington Bancshares,9,27,9,12,9,8,5,16,technology,FinTech
Omnichannel Developer - Senior ,Huntington Bancshares,11,39,10,14,5,11,4,14,technology,FinTech
Omnichannel QA Testing Analyst - Lead ,Huntington Bancshares,19,16,12,24,6,7,4,10,marketing,Finance
Digital Analyst ,Huntington Bancshares,14,14,13,11,14,7,2,19,data science,FinTech
IT Business Modeling SME (SAS Administrator) ,Huntington Bancshares,5,15,5,6,5,5,0,13,technology,FinTech
EDW Application DBA ,Huntington Bancshares,5,5,4,2,3,3,2,5,banking,Finance
Colleague Resource Center Specialist ,Huntington Bancshares,9,7,7,5,1,5,1,6,banking,Finance
Data Integration Delivery Manager (DM) ,Huntington Bancshares,16,51,15,17,47,8,3,50,technology,FinTech
Mainframe Development Manager ,Huntington Bancshares,5,25,5,7,3,6,1,12,technology,FinTech
Central Sales Support Specialist III ,Huntington Bancshares,10,7,3,5,5,2,1,5,banking,Finance
Healthcare Practice Finance Group Buisness Development Officer ,Huntington Bancshares,6,8,7,7,1,3,1,7,technology,FinTech
Healthcare Practice Finance Group Business Development Officer ,Huntington Bancshares,6,8,7,7,1,3,1,7,technology,FinTech
Omnichannel (Omni) Experience Owner ,Huntington Bancshares,23,17,18,19,9,15,5,14,banking,Finance
Learning & Development Instructional Designer ,Huntington Bancshares,7,19,6,10,3,1,2,12,technology,FinTech
Data Protection- Senior DLP Engineer ,Huntington Bancshares,13,37,10,8,15,2,9,26,technology,FinTech
Surveillance Investigator 1 ,Huntington Bancshares,17,14,11,8,3,3,2,9,banking,Finance
EDW Platform Engineer ,Huntington Bancshares,17,52,16,17,48,8,3,51,technology,FinTech
Service Desk Analyst ,Huntington Bancshares,8,15,8,11,3,11,4,11,technology,FinTech
Red Team Manager ,Huntington Bancshares,3,20,2,9,7,6,5,12,technology,FinTech
Information Security Platform Architect ,Huntington Bancshares,4,33,3,7,9,3,8,14,technology,FinTech
Business Continuity Specialist ,Huntington Bancshares,8,10,6,3,3,2,0,10,technology,FinTech
Operational Risk Section Manager - Fraud and Loss Prevention ,Huntington Bancshares,23,15,15,15,6,6,2,12,banking,Finance
Information Security Engineering Manager ,Huntington Bancshares,15,33,13,15,10,3,7,22,technology,FinTech
Microstrategy Administrator ,Huntington Bancshares,13,41,11,12,19,5,3,31,technology,FinTech
Information Security Strategy Architect ,Huntington Bancshares,13,25,12,12,6,6,5,10,technology,FinTech
Branch Manager ,Huntington Bancshares,27,17,26,19,1,14,0,9,banking,Finance
Branch Service Manager ,Huntington Bancshares,16,16,11,11,0,9,0,4,banking,Finance
Relationship Banker III - Registered ,Huntington Bancshares,24,14,24,17,0,10,0,9,banking,Finance
Branch Manager ,Huntington Bancshares,27,17,26,19,1,14,0,9,banking,Finance
Branch Manager ,Huntington Bancshares,27,17,26,19,1,14,0,9,banking,Finance
Branch Relationship Banker I ,Huntington Bancshares,31,12,28,20,0,14,0,4,banking,Finance
Branch Manager ,Huntington Bancshares,27,17,26,19,1,14,0,9,banking,Finance
Branch Relationship Banker III ,Huntington Bancshares,28,10,28,21,0,10,0,5,banking,Finance
Relation Banker III ,Huntington Bancshares,24,14,24,17,0,10,0,9,banking,Finance
Branch Relationship Banker I ,Huntington Bancshares,31,12,28,20,0,14,0,4,banking,Finance
Branch Relationship Banker I ,Huntington Bancshares,31,12,28,20,0,14,0,4,banking,Finance
Collector ,Huntington Bancshares,9,4,6,6,5,6,2,7,banking,Finance
Mortgage Loan Officer ,Huntington Bancshares,11,7,11,9,1,4,4,5,banking,Finance
Branch Relationship Banker 1 ,Huntington Bancshares,31,12,28,20,0,14,0,4,banking,Finance
Relationship Banker III - Registered ,Huntington Bancshares,24,14,24,17,0,10,0,9,banking,Finance
Branch Service Manager ,Huntington Bancshares,16,16,11,11,0,9,0,4,banking,Finance
Teller ,Huntington Bancshares,20,17,16,11,0,9,0,5,banking,Finance
Teller ,Huntington Bancshares,20,17,16,11,0,9,0,5,banking,Finance
Teller ,Huntington Bancshares,20,17,16,11,0,9,0,5,banking,Finance
Branch Manager ,Huntington Bancshares,27,17,26,19,1,14,0,9,banking,Finance
Branch Relationship Banker I ,Huntington Bancshares,31,12,28,20,0,14,0,4,banking,Finance
Financial Advisor ,Huntington Bancshares,11,2,11,12,0,7,0,3,marketing,Finance
Advice Center - Financial Advisor ,Huntington Bancshares,11,2,11,12,0,7,0,3,marketing,Finance
Business System Analyst - Sr. ,Huntington Bancshares,9,4,5,20,2,1,1,6,marketing,Finance
Relationship Banker III - Licensed ,Huntington Bancshares,24,14,24,17,0,10,0,9,banking,Finance
Branch Relationship Banker III - Licensed ,Huntington Bancshares,24,14,24,17,0,10,0,9,banking,Finance
Branch Relationship Banker I ,Huntington Bancshares,31,12,28,20,0,14,0,4,banking,Finance
Branch Manager ,Huntington Bancshares,27,17,26,19,1,14,0,9,banking,Finance
Branch Manager ,Huntington Bancshares,27,17,26,19,1,14,0,9,banking,Finance
Branch Relationship Banker II ,Huntington Bancshares,31,14,29,22,0,14,0,6,banking,Finance
Branch Manager ,Huntington Bancshares,27,17,26,19,1,14,0,9,banking,Finance
Enterprise Data Services Data Alignment Manager ,Huntington Bancshares,4,19,5,10,15,3,0,17,technology,FinTech
Branch Relationship Banker I ,Huntington Bancshares,31,12,28,20,0,14,0,4,banking,Finance
Branch Relationship Banker I ,Huntington Bancshares,31,12,28,20,0,14,0,4,banking,Finance
Branch Service Manager ,Huntington Bancshares,16,16,11,11,0,9,0,4,banking,Finance
Branch Manager ,Huntington Bancshares,27,17,26,19,1,14,0,9,banking,Finance
Collector ,Huntington Bancshares,8,10,8,9,10,7,7,14,data science,FinTech
Branch Relationship Banker II ,Huntington Bancshares,31,14,29,22,0,14,0,6,banking,Finance
Branch Service Manager ,Huntington Bancshares,16,16,11,11,0,9,0,4,banking,Finance
Financial Advisor ,Huntington Bancshares,11,2,11,12,0,7,0,3,marketing,Finance
Segment Risk Manager (OMNI) ,Huntington Bancshares,28,17,19,16,7,6,6,10,banking,Finance
Branch Manager ,Huntington Bancshares,27,17,26,19,1,14,0,9,banking,Finance
Sr. Segment Risk Specialist (Fraud Strategy) ,Huntington Bancshares,14,7,9,12,2,5,0,4,banking,Finance
Relationship Banker III - Registered ,Huntington Bancshares,24,14,24,17,0,10,0,9,banking,Finance
Credit Analyst- Energy Banking ,Huntington Bancshares,14,1,14,8,1,1,0,2,banking,Finance
Mortgage Loan Officer ,Huntington Bancshares,11,7,11,9,1,4,4,5,banking,Finance
Branch Relationship Banker I ,Huntington Bancshares,31,12,28,20,0,14,0,4,banking,Finance
Commercial Relationship Manager III ,Huntington Bancshares,37,14,35,22,3,2,1,16,banking,Finance
Branch Relationship Banker I ,Huntington Bancshares,31,12,28,20,0,14,0,4,banking,Finance
Enterprise Data Services Data Alignment Manager ,Huntington Bancshares,4,19,5,11,15,3,0,17,technology,FinTech
Branch Manager ,Huntington Bancshares,27,17,26,19,1,14,0,9,banking,Finance
Mortgage Loan Officer - Southfield Towne Square ,Huntington Bancshares,11,7,11,9,1,4,4,5,banking,Finance
Branch Relationship Banker I.5579 ,Huntington Bancshares,31,12,28,20,0,14,0,4,banking,Finance
Mortgage Direct Loan Officer -- Veteran Loan Programs ,Huntington Bancshares,10,11,10,11,1,6,4,8,technology,FinTech
Branch Relationship Banker I ,Huntington Bancshares,31,12,28,20,0,14,0,4,banking,Finance
Branch Relationship Banker I ,Huntington Bancshares,31,12,28,20,0,14,0,4,banking,Finance
Teller ,Huntington Bancshares,20,17,16,11,0,9,0,5,banking,Finance
Teller ,Huntington Bancshares,20,17,16,11,0,9,0,5,banking,Finance
Branch Relationship Banker 1 ,Huntington Bancshares,31,12,28,20,0,14,0,4,banking,Finance
Branch Relationship Banker 1 ,Huntington Bancshares,31,12,28,20,0,14,0,4,banking,Finance
Branch Relationship Banker II ,Huntington Bancshares,31,14,29,22,0,14,0,6,banking,Finance
Branch Service Manager ,Huntington Bancshares,16,16,11,11,0,9,0,4,banking,Finance
Branch Manager ,Huntington Bancshares,27,17,26,19,1,14,0,9,banking,Finance
Assistant Branch Manager ,Huntington Bancshares,32,17,31,23,1,17,0,8,banking,Finance
Branch Relationship Banker I ,Huntington Bancshares,31,12,28,20,0,14,0,4,banking,Finance
Branch Relationship Banker I ,Huntington Bancshares,31,12,28,20,0,14,0,4,banking,Finance
Branch Manager ,Huntington Bancshares,27,17,26,19,1,14,0,9,banking,Finance
Mortgage Direct Loan Officer - Columbus ,Huntington Bancshares,10,7,10,9,1,4,4,5,banking,Finance
Omni - Senior Business Analyst ,Huntington Bancshares,12,10,9,9,1,4,0,4,banking,Finance
Mortgage Loan Officer - Adrian| MI ,Huntington Bancshares,11,7,11,9,1,4,4,5,banking,Finance
teller ,Huntington Bancshares,20,17,16,11,0,9,0,5,banking,Finance
Branch Relationship Banker II ,Huntington Bancshares,31,14,29,22,0,14,0,6,banking,Finance
Mortgage Loan Officer - Easton ,Huntington Bancshares,11,7,11,9,1,4,4,5,banking,Finance
Branch Manager ,Huntington Bancshares,27,17,26,19,1,14,0,9,banking,Finance
Branch Relationship Banker I ,Huntington Bancshares,31,12,28,20,0,14,0,4,banking,Finance
Branch Relationship Banker I ,Huntington Bancshares,31,12,28,20,0,14,0,4,banking,Finance
Branch Relationship Banker I ,Huntington Bancshares,31,12,28,20,0,14,0,4,banking,Finance
Branch Service Manager ,Huntington Bancshares,16,16,11,11,0,9,0,4,banking,Finance
Branch Relationship Banker I ,Huntington Bancshares,31,12,28,20,0,14,0,4,banking,Finance
Teller ,Huntington Bancshares,20,17,16,11,0,9,0,5,banking,Finance
Commercial Relationship Mgr III ,Huntington Bancshares,37,14,35,22,3,2,1,16,banking,Finance
Assistant Branch Manager ,Huntington Bancshares,32,17,31,23,1,17,0,8,banking,Finance
Employee Benefits Senior Insurance Sales Executive ,Huntington Bancshares,14,5,17,17,0,5,1,7,finance,Finance
Teller ,Huntington Bancshares,20,17,16,11,0,9,0,5,banking,Finance
